Metabolites	1,2-diacylglycerol	1,2-diacylglycerol	Cys1-GFP	Cys1-GFP	Translocation-based biosensors					9456311	Meyer T
Metabolites	1,2-diacylglycerol	1,2-diacylglycerol	DAGR (FRET)	DAGR (FRET)	Translocation-based biosensors					12782683	Newton AC
Kinase activity	Abl	Abl	Crk-based reporter	Crk-based reporter	FRET-based biosensors 					11752449	Tsien RY
Kinase activity	ABl	ABl	Picchu	Picchu	FRET-based biosensors 					15922734	Matsuda M
Kinase activity	ABl	ABl	Picchu-Z/EGFR-Z	Picchu-Z/EGFR-Z	FRET-based biosensors 					11406630	Matsuda M
Protein Activation and Conformation	activation of plasma membrane Ca2+ pump	activation of plasma membrane Ca<sup>2+</sup> pump	BFP-PMCA-GFP	BFP-PMCA-GFP	FRET-based biosensors 					17901055	Adamo HP
Protein Activation and Conformation	Akt conformation	Akt conformation	GFP–Akt–YFP; ReAktion	GFP–Akt–YFP; ReAktion	FRET-based biosensors 					17928291, 12662152	Zhang J, Larijani B
Protein Activation and Conformation	Annexin A4 self-association	Annexin A4 self-association	CYNEX4	CYNEX4	FRET-based biosensors 					1483058	Schultz C
Metabolites	arabinose	arabinose	FLIPara sensors	FLIPara sensors	FRET-based biosensors 					18522753	Frommer WB
Metabolites	arginine	arginine	FRET arginine reporter	FRET arginine reporter	FRET-based biosensors 					17492367	Ludewig U
Metabolites	arginine	arginine	FLIP-cpGlnH183	FLIP-cpGlnH183	FRET-based biosensors 					19827096	Ito T
Kinase activity	ATM	ATM	ATOMIC	ATOMIC	FRET-based biosensors 					17428747	Hunter T
Metabolites	ATP	ATP	Ateams	Ateams	FRET-based biosensors 					19720993	Noji H
Metabolites	ATP:ADP ratio	ATP:ADP ratio	Perceval	Perceval	Single FP-based extrinsic biosensors 					19122669	Yellen G
Kinase activity	Aurora B kinase	Aurora B kinase	aurora B sensor	aurora B sensor	FRET-based biosensors 					18463638	Kapoor TM
Metabolites	BAI2 (a furanosyl borate diester)	BAI2 (a furanosyl borate diester)	CLPY	CLPY	FRET-based biosensors 					21031302	Sayre R
Metabolites	BAI2 (a furanosyl borate diester)	BAI2 (a furanosyl borate diester)	LuxP-FRET	LuxP-FRET	FRET-based biosensors 					17352493	Sayre R
Ions	Ca2+	Ca<sup>2+</sup>	Pericams	Pericams	Single FP-based extrinsic biosensors 					10500161, 11248055, 21903779	Tsien RY, Miyawaki A, Campbell RE
Ions	Ca2+	Ca<sup>2+</sup>	 G-CaMPs	G-CaMPs	Single FP-based extrinsic biosensors 					10500161, 11175727, 16537386, 19898485, 21903779	Tsien RY, Imoto K, Kotlikoff MI, Looger LL, Campbell RE
Ions	Ca2+	Ca<sup>2+</sup>	Case12/16	Case12/16	Single FP-based extrinsic biosensors 					10500161, 17603870, 21903779	Tsien RY, Chudakov DM, Campbell RE
Ions	Ca2+	Ca<sup>2+</sup>	Camgaroos	Camgaroos	Single FP-based extrinsic biosensors 					10500161, 21903779	Tsien RY, Campbell RE
Ions	Ca2+	Ca<sup>2+</sup>	B-GECO	B-GECO	Single FP-based extrinsic biosensors 					10500161, 21903779	Tsien RY, Campbell RE
Ions	Ca2+	Ca<sup>2+</sup>	G-GECO	G-GECO	Single FP-based extrinsic biosensors 					10500161, 21903779	Tsien RY, Campbell RE
Ions	Ca2+	Ca<sup>2+</sup>	R-GECO	R-GECO	Single FP-based extrinsic biosensors 					10500161, 21903779	Tsien RY, Campbell RE
Ions	Ca2+	Ca<sup>2+</sup>	Cameleons	Cameleons	FRET-based biosensors 					9278050, 15247428, 16720273, 9148946, 9148946	Tsien RY, Miyawaki A, Tsien RY, Persechini A, Ikura M
Ions	Ca2+	Ca<sup>2+</sup>	FIP-CBSM TN-XL	FIP-CB<sub>SM</sub>TN-XL	FRET-based biosensors 					15247428, 9148946, 9148946	Miyawaki A, Persechini A, Ikura M
Ions	Ca2+	Ca<sup>2+</sup>	TN-XXL	TN-XXL	FRET-based biosensors 					19160515, 15247428, 9148946,9148946	Griesbeck O, Miyawaki A, Persechini A, Ikura M
Protein Activation and Conformation	CaMKII conformation	CaMKII conformation	Camui?amCYCaMII?	Camui&alpha;amCYCaMII&alpha;	FRET-based biosensors 					18355004, 15788767	Schultz C, Hayashi Y
Metabolites	cAMP	cAMP	FP-PKARII/FP-PKAcat	FP-PKA<sup>RII</sup>/FP-PKA<sup>cat</sup>	FRET-based biosensors 				eBFP and GFP or CFP and YFP	10620803, 11872839	Pozzan T, Pozzan T
Metabolites	cAMP	cAMP	CFP–Epac–YFP	CFP–Epac–YFP	FRET-based biosensors 				CFP and YFP	15550931	Jalink K
Metabolites	cAMP	cAMP	ICUEs	ICUEs	FRET-based biosensors 				eCFP and Citrine	15545605, 19603118, 18045878	Zhang J, Zhang J, Lefkowitz RJ
Metabolites	cAMP	cAMP	Epac-camps	Epac-camps	FRET-based biosensors 				CFP and YFP	15231839	Lohse MJ
Metabolites	cAMP	cAMP	PKA-camps	PKA-camps	FRET-based biosensors 				CFP and YFP	15231839	Lohse MJ
Metabolites	cAMP	cAMP	HCN2-camps	HCN2-camps	FRET-based biosensors 				CFP and YFP	17038640	Engelhardt S
Metabolites	cAMP	cAMP	(T)Epac(VV)	(T)Epac(VV)	FRET-based biosensors 				mTurquise and venus-Venus	21559477	Jalink K
Regulated Proteolysis	Cell cycle progression	Cell cycle progression	Fucci	Fucci	Single FP-based extrinsic biosensors 					18267078	Miyawaki A
Metabolites	cGMP	cGMP	FlincG	FlincG	Single FP-based extrinsic biosensors 					18165313	Dostmann WR
Metabolites	cGMP	cGMP	Cygnets	Cygnets	FRET-based biosensors 			smooth muscle cells	eCFP and Citrine	15988053	Dostmann WR
Metabolites	cGMP	cGMP	CGYs	CGYs	FRET-based biosensors 			CHO and HEK293 cells	eCFP and eYFP	11140757	Umezawa Y
Metabolites	cGMP	cGMP	cGES sensors	cGES sensors	FRET-based biosensors 			HEK293 cells	CFP and YFP	16369548	Lohse MJ
Metabolites	cGMP	cGMP	cGis	cGi sensors	FRET-based biosensors 			HEK293 cells	CFP and YFP	17516914	Koesling D
Metabolites	cGMP	cGMP	Cygnus	Cygnus	FRET-based biosensors 			PC12 cells	mTagBFP and sREACh(dark)	20161796	Oka K
